Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,ATC LEVEL,Is Drug Class,Semantic type UMLS property,ontology_type,cui_is_duplicate
V03AN05,medical air,,,False,C3536832,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T197,http://purl.bioontology.org/ontology/ATC/V03AN,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T197,ATC,False
A10AE01,insulin (human),,,False,C0795635,http://purl.bioontology.org/ontology/STY/T125|http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T116,http://purl.bioontology.org/ontology/ATC/A10AE,5.0,,http://purl.bioontology.org/ontology/STY/T125|http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T116,ATC,True
S01CC02,indometacin and antiinfectives,,,False,C3871448,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/S01CC,5.0,,http://purl.bioontology.org/ontology/STY/T121,ATC,False
V03AF02,dexrazoxane,,,False,C0086444,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/V03AF,5.0,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,ATC,False
J01EE05,sulfadimidine and trimethoprim,,,False,C3652709,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/J01EE,5.0,,http://purl.bioontology.org/ontology/STY/T121,ATC,False
C03BA,"sulfonamides, low-ceiling diuretics, plain","Sulfonamides, plain",,False,C3541387,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/C03B,4.0,Y,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,ATC,False
J01CA09,azlocillin,,,False,C0004499,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T195,http://purl.bioontology.org/ontology/ATC/J01CA,5.0,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T195,ATC,False
D11AX52,"gamolenic acid, combinations",,,False,C3652866,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/D11AX,5.0,,http://purl.bioontology.org/ontology/STY/T121,ATC,False
A05BA,Liver therapy drugs,Liver therapy,,False,C3653980,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/A05B,4.0,Y,http://purl.bioontology.org/ontology/STY/T121,ATC,False
N01AG,"barbiturates for general anesthesia, in combination with other drugs",Barbiturates in combination with other drugs,,False,C3541359,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/N01A,4.0,Y,http://purl.bioontology.org/ontology/STY/T121,ATC,False
S01EB07,fluostigmine,,,False,C0022181,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T131,http://purl.bioontology.org/ontology/ATC/S01EB,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T131,ATC,False
B02BB,Fibrinogen containing hemostatics,Fibrinogen,,False,C3540039,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T116,http://purl.bioontology.org/ontology/ATC/B02B,4.0,Y,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T116,ATC,False
C09BA03,lisinopril and diuretics,,,False,C0360734,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/C09BA,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,False
A16AX30,sodium benzoate and sodium phenylacetate,,,False,C1562019,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/A16AX,5.0,,http://purl.bioontology.org/ontology/STY/T121,ATC,False
V09AA,Technetium (99mTc) compounds,,,False,C3541402,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T130,http://purl.bioontology.org/ontology/ATC/V09A,4.0,Y,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T130,ATC,False
A10BJ06,semaglutide,,,False,C3885068,http://purl.bioontology.org/ontology/STY/T123|http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T116,http://purl.bioontology.org/ontology/ATC/A10BJ,5.0,,http://purl.bioontology.org/ontology/STY/T123|http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T116,ATC,False
S01FB51,phenylephrine and ketorolac,,,False,C3833028,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/S01FB,5.0,,http://purl.bioontology.org/ontology/STY/T121,ATC,False
N02CD06,rimegepant,,,False,C4519126,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/N02CD,5.0,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,ATC,False
A03BA04,belladonna total alkaloids,,,False,C3652929,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/A03BA,5.0,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,ATC,False
A03CA05,glycopyrronium bromide and psycholeptics,,,False,C3652968,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/A03CA,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,False
J07BA02,"encephalitis, Japanese, inactivated, whole virus",,,False,C3652510,http://purl.bioontology.org/ontology/STY/T129|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/J07BA,5.0,,http://purl.bioontology.org/ontology/STY/T129|http://purl.bioontology.org/ontology/STY/T121,ATC,False
A10BX08,mitiglinide,,,False,C0906166,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/A10BX,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,False
D08AH30,clioquinol,,,False,C0021978,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/D08AH,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,True
R05CA05,altheae radix,,,False,C3653278,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/R05CA,5.0,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,ATC,False
L04AG10,inebilizumab,,,False,C4519594,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T129|http://purl.bioontology.org/ontology/STY/T116,http://purl.bioontology.org/ontology/ATC/L04AG,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T129|http://purl.bioontology.org/ontology/STY/T116,ATC,False
L01FA02,ofatumumab,,,False,C1832027,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T129|http://purl.bioontology.org/ontology/STY/T116,http://purl.bioontology.org/ontology/ATC/L01FA,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T129|http://purl.bioontology.org/ontology/STY/T116,ATC,True
A07EC01,sulfasalazine,,,False,C0036078,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/A07EC,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,False
L04AG09,emapalumab,,,False,C4740904,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T129|http://purl.bioontology.org/ontology/STY/T116,http://purl.bioontology.org/ontology/ATC/L04AG,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T129|http://purl.bioontology.org/ontology/STY/T116,ATC,False
R05CB09,letosteine,,,False,C0064777,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/R05CB,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,False
N04BC05,pramipexole,,,False,C0074710,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/N04BC,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,False
C02DC,Pyrimidine derivatives acting on arteriolar smooth muscle,Pyrimidine derivatives,,False,C3654032,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/C02D,4.0,Y,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,ATC,False
V03AB05,prednisolone and promethazine,,,False,C3652718,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/V03AB,5.0,,http://purl.bioontology.org/ontology/STY/T121,ATC,False
V08CX01,perflubron,,,False,C0162922,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T130,http://purl.bioontology.org/ontology/ATC/V08CX,5.0,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T130,ATC,False
D01AE19,tolciclate,,,False,C0076793,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/D01AE,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,False
M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids in ATC","Other antiinflammatory and antirheumatic agents, non-steroids",,False,C3653907,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/M01A,4.0,Y,http://purl.bioontology.org/ontology/STY/T121,ATC,False
B03AD02,ferrous fumarate and folic acid,,,False,C0717767,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/B03AD,5.0,,http://purl.bioontology.org/ontology/STY/T121,ATC,False
V03AX,Other therapeutic products in ATC,Other therapeutic products,,False,C3653951,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/V03A,4.0,Y,http://purl.bioontology.org/ontology/STY/T121,ATC,False
N02BB74,"propyphenazone, combinations with psycholeptics",,,False,C3653230,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/N02BB,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,False
C05AA11,fluocinonide,,,False,C0016299,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/C05AA,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,True
P02BA02,oxamniquine,,,False,C0029994,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/P02BA,5.0,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,ATC,False
N06DX03,aducanumab,,,False,C4043101,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T129|http://purl.bioontology.org/ontology/STY/T116,http://purl.bioontology.org/ontology/ATC/N06DX,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T129|http://purl.bioontology.org/ontology/STY/T116,ATC,False
A11EC,Vitamin B-complex with minerals,,,False,C0724326,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T127,http://purl.bioontology.org/ontology/ATC/A11E,4.0,Y,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T127,ATC,False
A14AA06,quinbolone,,,False,C0072862,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/A14AA,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,False
J06BB12,"encephalitis, tick borne immunoglobulin",,,False,C0593472,http://purl.bioontology.org/ontology/STY/T129|http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T116,http://purl.bioontology.org/ontology/ATC/J06BB,5.0,,http://purl.bioontology.org/ontology/STY/T129|http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T116,ATC,False
C10AA03,pravastatin,,,False,C0085542,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/C10AA,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,False
A10BD15,metformin and dapagliflozin,,,False,C3700400,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/A10BD,5.0,,http://purl.bioontology.org/ontology/STY/T121,ATC,False
A10BH51,sitagliptin and simvastatin,,,False,C3244837,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/A10BH,5.0,,http://purl.bioontology.org/ontology/STY/T121,ATC,False
J01DB,First-generation cephalosporins,,,False,C0304317,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T195,http://purl.bioontology.org/ontology/ATC/J01D,4.0,Y,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T195,ATC,False
L01XG01,bortezomib,,,False,C1176309,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/L01XG,5.0,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,ATC,False
M04AA01,allopurinol,,,False,C0002144,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/M04AA,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,False
L01EG,Mammalian target of rapamycin (mTOR) kinase inhibitors (L01EG),Mammalian target of rapamycin (mTOR) kinase inhibitors,,False,C5432227,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/L01E,4.0,Y,http://purl.bioontology.org/ontology/STY/T121,ATC,False
C01AB,Scilla glycosides used in cardiac therapy,Scilla glycosides,,False,C3654019,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/C01A,4.0,Y,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,ATC,False
R05DA01,ethylmorphine,,,False,C0015109,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/R05DA,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,True
J07BB,Influenza vaccines,,,False,C0021403,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T129,http://purl.bioontology.org/ontology/ATC/J07B,4.0,Y,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T129,ATC,False
R03BA02,budesonide,,,False,C0054201,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/R03BA,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,True
N02BB02,metamizole sodium,,,False,C3714569,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/N02BB,5.0,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,ATC,False
A16AX03,sodium phenylbutyrate,,,False,C0718066,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/A16AX,5.0,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,ATC,False
L01EK01,axitinib,,,False,C1700874,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/L01EK,5.0,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,ATC,False
J07AH11,"meningococcus A,B,C,Y,W-135, pentavalent purified polysaccharides antigen conjugated and factor H binding protein",,,False,C5978751,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T129,http://purl.bioontology.org/ontology/ATC/J07AH,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T129,ATC,False
J01CA11,mecillinam,,,False,C0002435,http://purl.bioontology.org/ontology/STY/T195|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/J01CA,5.0,,http://purl.bioontology.org/ontology/STY/T195|http://purl.bioontology.org/ontology/STY/T109,ATC,False
J01RA,Combinations of antibacterials,,,False,C3653745,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/J01R,4.0,Y,http://purl.bioontology.org/ontology/STY/T121,ATC,True
P01AB51,metronidazole and furazolidone,,,False,C5574974,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/P01AB,5.0,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,ATC,False
N01BB07,etidocaine,,,False,C0015120,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/N01BB,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,False
B05CB10,Salt solution combinations,combinations,,False,C3539182,http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/ATC/B05CB,5.0,,http://purl.bioontology.org/ontology/STY/T121,ATC,False
L01CA01,vinblastine,,,False,C0042670,http://purl.bioontology.org/ontology/STY/T123|http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/L01CA,5.0,,http://purl.bioontology.org/ontology/STY/T123|http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,False
A16AB20,pegunigalsidase alfa,,,False,C5139798,http://purl.bioontology.org/ontology/STY/T126|http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T116,http://purl.bioontology.org/ontology/ATC/A16AB,5.0,,http://purl.bioontology.org/ontology/STY/T126|http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T116,ATC,False
N01AX13,nitrous oxide,,,False,C0028215,http://purl.bioontology.org/ontology/STY/T123|http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T197,http://purl.bioontology.org/ontology/ATC/N01AX,5.0,,http://purl.bioontology.org/ontology/STY/T123|http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T197,ATC,False
A03AX01,fenpiprane,,,False,C1173376,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/ATC/A03AX,5.0,,http://purl.bioontology.org/ontology/STY/T121|http://purl.bioontology.org/ontology/STY/T109,ATC,False
